
classes:   0%|          | 0/3423 [00:00<?, ?it/s]
classes:  23%|##3       | 802/3423 [03:43<1:30:37,  2.07s/it]
classes:  23%|##3       | 803/3423 [03:46<1:37:08,  2.22s/it]
classes:  23%|##3       | 804/3423 [03:48<1:42:12,  2.34s/it]
classes:  24%|##3       | 805/3423 [03:51<1:40:56,  2.31s/it]
classes:  24%|##3       | 806/3423 [03:53<1:38:42,  2.26s/it]
classes:  24%|##3       | 807/3423 [03:56<1:50:27,  2.53s/it]
classes:  24%|##3       | 808/3423 [03:59<1:50:24,  2.53s/it]
classes:  24%|##3       | 809/3423 [04:01<1:45:06,  2.41s/it]
classes:  24%|##3       | 810/3423 [04:03<1:46:45,  2.45s/it]
classes:  24%|##3       | 811/3423 [04:05<1:40:18,  2.30s/it]
classes:  24%|##3       | 812/3423 [04:07<1:35:11,  2.19s/it]
classes:  24%|##3       | 813/3423 [04:09<1:29:04,  2.05s/it]
classes:  24%|##3       | 814/3423 [04:11<1:27:44,  2.02s/it]
classes:  24%|##3       | 815/3423 [04:13<1:25:06,  1.96s/it]
classes:  24%|##3       | 816/3423 [04:15<1:28:31,  2.04s/it]
classes:  24%|##3       | 817/3423 [04:17<1:27:48,  2.02s/it]
classes:  24%|##3       | 818/3423 [04:19<1:29:54,  2.07s/it]
classes:  24%|##3       | 819/3423 [04:22<1:35:21,  2.20s/it]
classes:  24%|##3       | 820/3423 [04:24<1:40:15,  2.31s/it]
classes:  24%|##3       | 821/3423 [04:26<1:33:16,  2.15s/it]
classes:  24%|##4       | 822/3423 [04:28<1:37:38,  2.25s/it]
classes:  24%|##4       | 823/3423 [04:30<1:34:17,  2.18s/it]
classes:  24%|##4       | 824/3423 [04:32<1:30:22,  2.09s/it]
classes:  24%|##4       | 825/3423 [04:37<2:05:06,  2.89s/it]
classes:  24%|##4       | 826/3423 [04:39<1:54:27,  2.64s/it]
classes:  24%|##4       | 827/3423 [04:41<1:49:58,  2.54s/it]
classes:  24%|##4       | 828/3423 [04:43<1:43:58,  2.40s/it]
classes:  24%|##4       | 829/3423 [04:45<1:36:25,  2.23s/it]
classes:  24%|##4       | 830/3423 [04:47<1:32:36,  2.14s/it]
classes:  24%|##4       | 831/3423 [04:49<1:31:16,  2.11s/it]
classes:  24%|##4       | 832/3423 [04:51<1:29:38,  2.08s/it]
classes:  24%|##4       | 833/3423 [04:54<1:38:35,  2.28s/it]
classes:  24%|##4       | 834/3423 [04:56<1:32:18,  2.14s/it]
classes:  24%|##4       | 835/3423 [04:59<1:40:19,  2.33s/it]
classes:  24%|##4       | 836/3423 [05:01<1:35:25,  2.21s/it]
classes:  24%|##4       | 837/3423 [05:02<1:31:21,  2.12s/it]
classes:  24%|##4       | 838/3423 [05:05<1:35:43,  2.22s/it]
classes:  25%|##4       | 839/3423 [05:07<1:33:09,  2.16s/it]
classes:  25%|##4       | 840/3423 [05:09<1:28:20,  2.05s/it]
classes:  25%|##4       | 841/3423 [05:11<1:26:47,  2.02s/it]
classes:  25%|##4       | 842/3423 [05:13<1:26:47,  2.02s/it]
classes:  25%|##4       | 843/3423 [05:14<1:24:06,  1.96s/it]
classes:  25%|##4       | 844/3423 [05:17<1:25:49,  2.00s/it]
classes:  25%|##4       | 845/3423 [05:19<1:25:23,  1.99s/it]
classes:  25%|##4       | 846/3423 [05:20<1:24:29,  1.97s/it]
classes:  25%|##4       | 847/3423 [05:23<1:28:25,  2.06s/it]
classes:  25%|##4       | 848/3423 [05:25<1:27:51,  2.05s/it]
classes:  25%|##4       | 849/3423 [05:27<1:25:08,  1.98s/it]
classes:  25%|##4       | 850/3423 [05:28<1:23:00,  1.94s/it]
classes:  25%|##4       | 851/3423 [05:31<1:29:04,  2.08s/it]
classes:  25%|##4       | 852/3423 [05:33<1:27:03,  2.03s/it]
classes:  25%|##4       | 853/3423 [05:34<1:21:20,  1.90s/it]
classes:  25%|##4       | 854/3423 [05:36<1:24:46,  1.98s/it]
classes:  25%|##4       | 855/3423 [05:38<1:17:18,  1.81s/it]
classes:  25%|##5       | 856/3423 [05:40<1:17:44,  1.82s/it]
classes:  25%|##5       | 857/3423 [05:42<1:21:41,  1.91s/it]
classes:  25%|##5       | 858/3423 [05:44<1:20:40,  1.89s/it]
classes:  25%|##5       | 859/3423 [05:45<1:19:08,  1.85s/it]
classes:  25%|##5       | 860/3423 [05:47<1:16:10,  1.78s/it]
classes:  25%|##5       | 861/3423 [05:49<1:14:50,  1.75s/it]
classes:  25%|##5       | 862/3423 [05:51<1:16:57,  1.80s/it]
classes:  25%|##5       | 863/3423 [05:52<1:13:03,  1.71s/it]
classes:  25%|##5       | 864/3423 [05:54<1:11:10,  1.67s/it]
classes:  25%|##5       | 865/3423 [05:56<1:13:21,  1.72s/it]
classes:  25%|##5       | 866/3423 [05:58<1:17:45,  1.82s/it]
classes:  25%|##5       | 867/3423 [05:59<1:13:44,  1.73s/it]
classes:  25%|##5       | 868/3423 [06:01<1:13:58,  1.74s/it]
classes:  25%|##5       | 869/3423 [06:03<1:13:09,  1.72s/it]
classes:  25%|##5       | 870/3423 [06:04<1:13:52,  1.74s/it]
classes:  25%|##5       | 871/3423 [06:06<1:13:18,  1.72s/it]
classes:  25%|##5       | 872/3423 [06:08<1:15:55,  1.79s/it]
classes:  26%|##5       | 873/3423 [06:10<1:15:50,  1.78s/it]
classes:  26%|##5       | 874/3423 [06:12<1:18:43,  1.85s/it]
classes:  26%|##5       | 875/3423 [06:14<1:18:19,  1.84s/it]
classes:  26%|##5       | 876/3423 [06:16<1:25:04,  2.00s/it]
classes:  26%|##5       | 877/3423 [06:18<1:21:23,  1.92s/it]
classes:  26%|##5       | 878/3423 [06:20<1:20:51,  1.91s/it]
classes:  26%|##5       | 879/3423 [06:22<1:22:45,  1.95s/it]
classes:  26%|##5       | 880/3423 [06:23<1:20:22,  1.90s/it]
classes:  26%|##5       | 881/3423 [06:25<1:15:18,  1.78s/it]
classes:  26%|##5       | 882/3423 [06:27<1:19:26,  1.88s/it]
classes:  26%|##5       | 883/3423 [06:29<1:18:38,  1.86s/it]
classes:  26%|##5       | 884/3423 [06:31<1:18:08,  1.85s/it]
classes:  26%|##5       | 885/3423 [06:33<1:21:33,  1.93s/it]
classes:  26%|##5       | 886/3423 [06:35<1:19:31,  1.88s/it]
classes:  26%|##5       | 887/3423 [06:36<1:16:20,  1.81s/it]
classes:  26%|##5       | 888/3423 [06:38<1:21:13,  1.92s/it]
classes:  26%|##5       | 889/3423 [06:40<1:21:58,  1.94s/it]
classes:  26%|##6       | 890/3423 [06:42<1:22:16,  1.95s/it]
classes:  26%|##6       | 891/3423 [06:44<1:18:22,  1.86s/it]
classes:  26%|##6       | 892/3423 [06:46<1:17:44,  1.84s/it]
classes:  26%|##6       | 893/3423 [06:48<1:18:52,  1.87s/it]
classes:  26%|##6       | 894/3423 [06:50<1:25:04,  2.02s/it]
classes:  26%|##6       | 895/3423 [06:52<1:18:37,  1.87s/it]
classes:  26%|##6       | 896/3423 [06:54<1:21:15,  1.93s/it]
classes:  26%|##6       | 897/3423 [06:56<1:21:55,  1.95s/it]
classes:  26%|##6       | 898/3423 [06:58<1:25:14,  2.03s/it]
classes:  26%|##6       | 899/3423 [07:00<1:23:39,  1.99s/it]
classes:  26%|##6       | 900/3423 [07:01<1:20:04,  1.90s/it]
classes:  26%|##6       | 901/3423 [07:03<1:16:06,  1.81s/it]
classes:  26%|##6       | 902/3423 [07:05<1:16:47,  1.83s/it]
classes:  26%|##6       | 903/3423 [07:07<1:17:13,  1.84s/it]
classes:  26%|##6       | 904/3423 [07:09<1:15:48,  1.81s/it]
classes:  26%|##6       | 905/3423 [07:10<1:14:15,  1.77s/it]
classes:  26%|##6       | 906/3423 [07:12<1:13:05,  1.74s/it]
classes:  26%|##6       | 907/3423 [07:14<1:16:29,  1.82s/it]
classes:  27%|##6       | 908/3423 [07:16<1:19:20,  1.89s/it]
classes:  27%|##6       | 909/3423 [07:18<1:20:18,  1.92s/it]
classes:  27%|##6       | 910/3423 [07:20<1:17:25,  1.85s/it]
classes:  27%|##6       | 911/3423 [07:21<1:15:58,  1.81s/it]
classes:  27%|##6       | 912/3423 [07:23<1:15:31,  1.80s/it]
classes:  27%|##6       | 913/3423 [07:25<1:15:19,  1.80s/it]
classes:  27%|##6       | 914/3423 [07:27<1:13:35,  1.76s/it]
classes:  27%|##6       | 915/3423 [07:29<1:17:56,  1.86s/it]
classes:  27%|##6       | 916/3423 [07:30<1:14:19,  1.78s/it]
classes:  27%|##6       | 917/3423 [07:32<1:15:00,  1.80s/it]
